
2024/07/24 (18:48:52) | INFO: Quitting! Runtime: 00:00:06

2024/07/25 (00:49:14) | ===> btop++ v.1.3.0
2024/07/25 (00:49:14) | INFO: Logger set to INFO
2024/07/25 (00:49:14) | INFO: Running on /dev/pts/3
2024/07/25 (00:49:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (03:10:49) | ===> btop++ v.1.3.0
2024/07/25 (03:10:49) | INFO: Logger set to INFO
2024/07/25 (03:10:49) | INFO: Running on /dev/pts/1
2024/07/25 (03:10:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (03:11:10) | INFO: Quitting! Runtime: 00:00:21

2024/07/25 (03:16:00) | ===> btop++ v.1.3.0
2024/07/25 (03:16:00) | INFO: Logger set to INFO
2024/07/25 (03:16:00) | INFO: Running on /dev/pts/3
2024/07/25 (03:16:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (03:16:05) | ===> btop++ v.1.3.0
2024/07/25 (03:16:05) | INFO: Logger set to INFO
2024/07/25 (03:16:05) | INFO: Running on /dev/pts/4
2024/07/25 (03:16:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (11:36:34) | ===> btop++ v.1.3.0
2024/07/25 (11:36:34) | INFO: Logger set to INFO
2024/07/25 (11:36:34) | INFO: Running on /dev/pts/3
2024/07/25 (11:36:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (11:50:36) | ===> btop++ v.1.3.0
2024/07/25 (11:50:36) | INFO: Logger set to INFO
2024/07/25 (11:50:36) | INFO: Running on /dev/pts/6
2024/07/25 (11:50:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (11:50:46) | INFO: Quitting! Runtime: 00:00:10
2024/07/25 (11:55:52) | INFO: Quitting! Runtime: 00:19:18

2024/07/25 (13:13:31) | ===> btop++ v.1.3.0
2024/07/25 (13:13:31) | INFO: Logger set to INFO
2024/07/25 (13:13:31) | INFO: Running on /dev/pts/5
2024/07/25 (13:13:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (13:15:10) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs error code: 1. Ignoring...

2024/07/25 (13:56:47) | ===> btop++ v.1.3.0
2024/07/25 (13:56:47) | INFO: Logger set to INFO
2024/07/25 (13:56:47) | INFO: Running on /dev/pts/2
2024/07/25 (13:56:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (14:02:59) | ERROR: Stall in Runner thread, restarting!

2024/07/25 (14:02:59) | ===> btop++ v.1.3.0
2024/07/25 (14:02:59) | INFO: Logger set to INFO
2024/07/25 (14:02:59) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/07/25 (14:02:59) | INFO: Quitting! Runtime: 00:00:00

2024/07/25 (14:42:32) | ===> btop++ v.1.3.0
2024/07/25 (14:42:32) | INFO: Logger set to INFO
2024/07/25 (14:42:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2024/07/25 (14:42:32) | INFO: Quitting! Runtime: 00:00:00

2024/07/25 (14:42:42) | ===> btop++ v.1.3.0
2024/07/25 (14:42:42) | INFO: Logger set to INFO
2024/07/25 (14:42:42) | INFO: Running on /dev/pts/2
2024/07/25 (14:42:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (16:23:10) | ===> btop++ v.1.3.0
2024/07/25 (16:23:10) | INFO: Logger set to INFO
2024/07/25 (16:23:10) | INFO: Running on /dev/pts/5
2024/07/25 (16:23:11) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (16:56:06) | ===> btop++ v.1.3.0
2024/07/25 (16:56:06) | INFO: Logger set to INFO
2024/07/25 (16:56:06) | INFO: Running on /dev/pts/6
2024/07/25 (16:56:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (17:00:27) | ===> btop++ v.1.3.0
2024/07/25 (17:00:27) | INFO: Logger set to INFO
2024/07/25 (17:00:27) | INFO: Running on /dev/pts/1
2024/07/25 (17:00:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (17:01:49) | ===> btop++ v.1.3.0
2024/07/25 (17:01:49) | INFO: Logger set to INFO
2024/07/25 (17:01:49) | INFO: Running on /dev/pts/1
2024/07/25 (17:01:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (17:02:17) | ERROR: Exception during Config::unlock() : unordered_map::at
2024/07/25 (17:02:17) | INFO: Quitting! Runtime: 00:00:28

2024/07/25 (17:17:08) | ===> btop++ v.1.3.0
2024/07/25 (17:17:08) | INFO: Logger set to INFO
2024/07/25 (17:17:08) | INFO: Running on /dev/pts/1
2024/07/25 (17:17:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (17:17:18) | INFO: Quitting! Runtime: 00:00:10

2024/07/25 (20:53:54) | ===> btop++ v.1.3.0
2024/07/25 (20:53:54) | INFO: Logger set to INFO
2024/07/25 (20:53:54) | INFO: Running on /dev/pts/3
2024/07/25 (20:53:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory

2024/07/25 (20:58:48) | ===> btop++ v.1.3.0
2024/07/25 (20:58:48) | INFO: Logger set to INFO
2024/07/25 (20:58:48) | INFO: Running on /dev/pts/3
2024/07/25 (20:58:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (21:17:00) | INFO: Quitting! Runtime: 00:18:12

2024/07/25 (21:17:02) | ===> btop++ v.1.3.0
2024/07/25 (21:17:02) | INFO: Logger set to INFO
2024/07/25 (21:17:02) | INFO: Running on /dev/pts/1
2024/07/25 (21:17:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/07/25 (21:17:05) | INFO: Quitting! Runtime: 00:00:03

2024/07/25 (23:31:08) | ===> btop++ v.1.3.0
2024/07/25 (23:31:08) | INFO: Logger set to INFO
2024/07/25 (23:31:08) | INFO: Running on /dev/pts/2
